x,y,landsat71_2
7335.434774641166,-352235.872415971,63.2975
7935.434774641166,-352235.872415971,59.205
8535.434774641166,-352235.872415971,64.0925
9135.434774641166,-352235.872415971,62.7175
9735.434774641166,-352235.872415971,57.4725
10335.434774641166,-352235.872415971,57.1325
10935.434774641166,-352235.872415971,55.54
11535.434774641166,-352235.872415971,61.705
12135.434774641166,-352235.872415971,59.9
12735.434774641166,-352235.872415971,62.945
13335.434774641166,-352235.872415971,64.6025
13935.434774641166,-352235.872415971,60.6725
14535.434774641166,-352235.872415971,61.2625
15135.434774641166,-352235.872415971,58.905
15735.434774641166,-352235.872415971,70.495
16335.434774641166,-352235.872415971,62.015
16935.434774641166,-352235.872415971,60.6775
17535.434774641166,-352235.872415971,63.75
18135.434774641166,-352235.872415971,67.4675
18735.434774641166,-352235.872415971,64.4925
19335.434774641166,-352235.872415971,65.6575
19935.434774641166,-352235.872415971,61.8
20535.434774641166,-352235.872415971,63.105
21135.434774641166,-352235.872415971,62.7225
21735.434774641166,-352235.872415971,68.49
22335.434774641166,-352235.872415971,56.135
22935.434774641166,-352235.872415971,57.62
23535.434774641166,-352235.872415971,64.505
24135.434774641166,-352235.872415971,64.5925
24735.434774641166,-352235.872415971,62.425
25335.434774641166,-352235.872415971,63.24
25935.434774641166,-352235.872415971,61.8025
26535.434774641166,-352235.872415971,64.0725
27135.434774641166,-352235.872415971,58.9925
27735.434774641166,-352235.872415971,61.265
28335.434774641166,-352235.872415971,64.9425
28935.434774641166,-352235.872415971,59.475
29535.434774641166,-352235.872415971,64.45
30135.434774641166,-352235.872415971,63.7575
30735.434774641166,-352235.872415971,59.9325
31335.434774641166,-352235.872415971,63.6825
31935.434774641166,-352235.872415971,66.5825
32535.434774641166,-352235.872415971,66.785
33135.434774641166,-352235.872415971,63.93
33735.434774641166,-352235.872415971,66.2975
34335.434774641166,-352235.872415971,65.8175
34935.434774641166,-352235.872415971,68.705
35535.434774641166,-352235.872415971,70.9625
36135.434774641166,-352235.872415971,70.5175
36735.434774641166,-352235.872415971,69.5175
37335.434774641166,-352235.872415971,69.2575
37935.434774641166,-352235.872415971,68.73
38535.434774641166,-352235.872415971,70.9075
39135.434774641166,-352235.872415971,72.1975
39735.434774641166,-352235.872415971,69.8125
40335.434774641166,-352235.872415971,74.2275
40935.434774641166,-352235.872415971,75.145
41535.434774641166,-352235.872415971,81.11
42135.434774641166,-352235.872415971,81.045
42735.434774641166,-352235.872415971,72.9225
43335.434774641166,-352235.872415971,70.995
43935.434774641166,-352235.872415971,70.5325
44535.434774641166,-352235.872415971,69.2675
45135.434774641166,-352235.872415971,72.29
45735.434774641166,-352235.872415971,72.5875
46335.434774641166,-352235.872415971,127.385
46935.434774641166,-352235.872415971,136.13
47535.434774641166,-352235.872415971,86.4275
48135.434774641166,-352235.872415971,95.7875
